1,"out_property[out_property,...]","The Z properties that will be added to the attribute table of the input feature class. The following options are available:

Z ！Spot elevation of single-point feature.
POINT_COUNT ！Number of points in each multipoint feature.
Z_MIN ！Lowest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MAX ！Highest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MEAN ！Average Z value found in each multipoint, polyline, polygon, or multipatch feature.
LENGTH_3D ！3-dimensional length of each polyline or polygon feature.
SURFACE_AREA ！Total area of the surface of a multipatch feature.
VERTEX_COUNT ！Total number of vertices in each polyline or polygon feature.
MIN_SLOPE ！Lowest slope value calculated for each polyline, polygon, or multipatch feature.
MAX_SLOPE ！Highest slope value calculated for each polyline, polygon, or multipatch feature.
AVG_SLOPE ！Average slope value calculated for each polyline, polygon, or multipatch feature.
VOLUME ！Volume of space enclosed by each multipatch feature.",LiteralData,String,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,
49,out_tin,The TIN dataset that will be generated.,Raster,TIN,,,,,,,,,,,,,,,,
50,out_tin,The TIN dataset that will be generated.,Raster,TIN,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,
53,out_property,"The surface elevation property that will be added to the attribute table of the input feature class. The following list summarizes the available property keywords and their supported geometry types:Z ！Surface Z values interpolated for the XY location of each single-point feature.Z_MIN ！Lowest surface Z values in the area defined by the polygon, along the length of a line, or among the interpolated values for points in a multipoint record.Z_MAX ！Highest surface elevation in the area defined by the polygon, along the length of a line, or among the interpolated values for points in a multipoint record.Z_MEAN ！Average surface elevation of the area defined by the polygon, along the length of a line, or among the interpolated values for points in a multipoint record.SURFACE_AREA ！3D surface area for the region defined by each polygon.SURFACE_LENGTH ！3D distance of the line along the surface. MIN_SLOPE ！Slope value closest to zero along the line or within the area defined by the polygon.MAX_SLOPE ！Highest slope value along the line or within the area defined by the polygon.AVG_SLOPE ！Average slope value along the line or within the area defined by the polygon.",LiteralData,String,,,,,,,,,,,,,,,,
54,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
55,out_line_feature_class,The output line feature class that will contain a copy of the input lines split at the points of intersection.,Vector,Feature Class,,,,,,,,,,,,,,,,
56,out_table,The output table that will store the interpolated measurements for each profile.,NonGeoData,Table,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,out_raster,The output interpolated surface raster.It is always a floating-point raster.,Raster,Raster Layer,,,,,,,,,,,,,,,,
59,out_surface_raster,The output interpolated surface raster.It is always a floating-point raster.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
60,out_raster,The output interpolated surface raster.It is always a floating-point raster.,Raster,Raster Layer,,,,,,,,,,,,,,,,
61,out_raster,The output interpolated surface raster.It is always a floating-point raster.,Raster,Raster Layer,,,,,,,,,,,,,,,,
62,Output_raster,The output interpolated surface raster. It is always a floating-point raster.,Raster,Raster Layer,,,,,,,,,,,,,,,,
63,out_surface_raster,The output interpolated surface raster.It is always a floating-point raster.,Raster,Raster Layer,,,,,,,,,,,,,,,,
64,out_surface_raster,The output interpolated surface raster.It is always a floating-point raster.,Raster,Raster Layer,,,,,,,,,,,,,,,,
65,out_raster,The output interpolated surface raster.It is always a floating-point raster.,Raster,Raster Layer,,,,,,,,,,,,,,,,
66,out_raster,The output raster.The cell values are the quotient of the first input raster (dividend) divided by the second input (divisor).,Raster,Raster Dataset,,,,,,,,,,,,,,,,
67,out_raster,The output raster.The cell values are the floating-point representation of the input values.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
68,out_raster,The output raster.The cell values are the input values converted to integers by truncation.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
69,out_raster,The output raster.The cell values are the result of subtracting the second input from the first.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
70,out_raster,The output raster.The cell values are the sum of the first input added to the second.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
71,out_raster,The output raster.The cell values are the product of the first input multiplied by the second.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
72,out_raster,The output raster whose values are determined  by the specified field  of the input raster.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
73,out_raster,The output reclassified raster.The output will always be of integer type.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
74,out_raster,The output reclassified raster.The output will always be of integer type.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
75,out_raster,The output reclassified raster.The output will always be of integer type.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
76,out_raster,The output reclassified raster.The output will always be of integer type.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
77,out_raster,The output aspect raster.It will be floating point type.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
78,out_polyline_features,The output contour polyline features.,Vector,Feature Class,,,,,,,,,,,,,,,,
79,out_polyline_features,The output contour polyline features.,Vector,Feature Class,,,,,,,,,,,,,,,,
80,out_contour_feature_class,The output contour features.,Vector,Feature Class,,,,,,,,,,,,,,,,
81,out_curvature_raster,The output curvature raster.It will be floating point type.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
82,out_raster,The output raster defining regions of cut and of fill.The values show the locations and amounts where the surface has been added to or removed from.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
83,out_raster,The output hillshade raster.The hillshade raster has an integer value range of 0 to 255.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
84,out_raster,The output slope raster.It will be floating point type.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
85,out_tin,The TIN dataset that will be generated.,Raster,TIN,,,,,,,,,,,,,,,,
86,out_feature_class,The output that will store the extruded features.,Vector,Feature Class,,,,,,,,,,,,,,,,
87,out_feature_class,The output multipatch feature class.,Vector,Feature Class,,,,,,,,,,,,,,,,
88,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,
90,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
91,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
92,out_feature_class,The output feature class containing contiguous triangles and triangle parts thathave the same classification grouped into polygons.  Thevolume enclosed by each region of difference is listed in the attribute table.,Vector,Feature Class,,,,,,,,,,,,,,,,
93,out_feature_class,The feature class that will be produced by this tool.,Vector,Feature Class,,,,,,,,,,,,,,,,
94,out_line_feature_class,The output feature class containing the  sight lines.,Vector,Feature Class,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,
96,out_los_feature_class,"The output line feature class along which visibility has been determined. Two attribute fields are created. VisCode indicates visibility along the line, 1 being visible and 2 not visible. TarIsVis indicates the target visibility, 0 being not visible and 1 being visible.",Vector,Feature Class,,,,,,,,,,,,,,,,
97,out_raster,The output raster.The output identifies exactly which observer points are visible from each raster surface location.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
98,out_feature_class,The 3D features that will either be lines that represent the skyline or multipatches that represent silhouettes.,Vector,Feature Class,,,,,,,,,,,,,,,,
99,out_feature_class,The output feature class into which the skyline barrier or shadow volume is placed.,Vector,Feature Class,,,,,,,,,,,,,,,,
100,out_angles_table(Optional),"The table to be created for outputting the angles. The default is blank, meaning no table.",NonGeoData,Table,out_graph(Optional),"The name of the optional graph. A table has to be generated in order for the graph to be made. The graph will be displayed and can be saved and/or edited. The default is blank, meaning no graph.",NonGeoData,Graph,,,,,,,,,,,,
101,out_feature_class,The multipatch feature class that will store the resulting shadow volumes.,Vector,Feature Class,,,,,,,,,,,,,,,,
102,out_raster,The output raster.The output will only record the number of times that each cell location in the input surface raster can be seen by the input observation points (or vertices for polylines). The observation frequency will be recorded in the VALUE item in the output rasters attribute table.,Raster,Raster Dataset,,,,,,,,,,,,,,,,
103,out_raster,"The output raster.The output will either record the number of times that each cell location in the input surface raster can be seen by the input observation locations  (the frequency analysis type), or record which observer locations are visible from each cell in the raster surface  (the observers type option).",Raster,Raster,,,,,,,,,,,,,,,,
104,out_feature_class,The feature class to be created.,Vector,Feature Class,,,,,,,,,,,,,,,,
105,out_feature_class,"The output feature class to be created. If no expression is used, it contains all input features.",Vector,Feature Class,,,,,,,,,,,,,,,,
106,out_workspace,The workspace where the output feature classes are stored.,GeoData,Workspace;Feature Dataset,,,,,,,,,,,,,,,,
107,out_table,The output table containing records from the input table that match the specified expression.,NonGeoData,Table,,,,,,,,,,,,,,,,
108,out_feature_class,The feature class that will contain only those Input Features that are not coincident with the Erase Features.,Vector,Feature Class,,,,,,,,,,,,,,,,
109,out_feature_class,The feature class that will be created and to which the results will be written.,Vector,Feature Class,,,,,,,,,,,,,,,,
110,out_feature_class,The output feature class.,Vector,Feature Class,,,,,,,,,,,,,,,,
111,out_feature_class,"A new feature class containing the attributes of the target and join features. By default, all attributes of target features and the attributes of the joined features are written to the output. However, the set of attributes to be transferred can be controlled by the field map parameter.",Vector,Feature Class,,,,,,,,,,,,,,,,
112,out_feature_class,The feature class to which the results will be written.,Vector,Feature Class,,,,,,,,,,,,,,,,
113,out_feature_class,The feature class that will contain the results.,Vector,Feature Class,,,,,,,,,,,,,,,,
114,out_feature_class,The feature class to contain the results. Do not set this to be the same as the Input Features.,Vector,Feature Class,,,,,,,,,,,,,,,,
115,out_feature_class,The feature class containing the output buffers.,Vector,Feature Class,,,,,,,,,,,,,,,,
116,out_feature_class,The output feature class containing the Thiessen polygons that are generated from the point input features.,Vector,Feature Class,,,,,,,,,,,,,,,,
117,out_table,The output table containing the result of the analysis.,NonGeoData,Table,,,,,,,,,,,,,,,,
118,Output_Feature_class,The output feature class that will contain multiple buffers.,Vector,Feature Class,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,
120,out_table,"The table containing the list of input features and information about all near features within the search radius. If a search radius is not specified, distances from all input features to all near features are calculated.",NonGeoData,Table,,,,,,,,,,,,,,,,
121,out_table,The output table.\r,NonGeoData,Table,,,,,,,,,,,,,,,,
122,out_table,The table that will store the calculated frequency statistics.,NonGeoData,Table,,,,,,,,,,,,,,,,
123,out_table,The output dBASE or geodatabase table that will store the calculated statistics.,NonGeoData,Table,,,,,,,,,,,,,,,,
124,out_table,The table that will contain the cross-tabulation of intersections between zones and classes.\r,NonGeoData,Table,,,,,,,,,,,,,,,,
125,out_geodatabase,The workspace where the output feature classes will be saved. The workspace can be an existing geodatabase or an existing feature dataset.,GeoData,Workspace;Feature Dataset,,,,,,,,,,,,,,,,
126,output_feature_class,The output polygon feature class.,Vector,Feature Class,,,,,,,,,,,,,,,,
127,out_geodatabase,The workspace where the output feature classes will be saved. The workspace can be an existing geodatabase or an existing feature dataset.,GeoData,Workspace;Feature Dataset,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,
131,out_mask_relationship_class,The output relationship class that will be created to store links between Overpass mask polygons and the stroke representations of the Input Below Features.,GeoData,Relationship Class,,,,,,,,,,,,,,,,
132,out_mask_relationship_class,The output relationship class that will be created to store links between Underpass mask polygons and the stroke representations of the Input Below Features.,GeoData,Relationship Class,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,
