PySAL,[],segregation.local.MultiLocalSimpsonConcentration,5318,Multigroup Local Simpson＊s Concentration Index.,data,dataframe or geodataframe if spatial index holding data for location of interest,pandas.DataFrame or geopandas.GeoDataFrame,GeoData,groups,list of columns on dataframe holding population totals for each group,list,Vector,w,lipysal spatial kernel weights object used to define an egohood,libpysal.weights.KernelW,Vector,network,pandana Network object representing the study area,pandana.Network,Vector,distance,Maximum distance (in units of geodataframe CRS) to consider the extent of the egohood,int,LiteralData,decay,type of decay function to apply. Options include,str,LiteralData,precompute,Whether to precompute the pandana Network object,bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],access.Access.create_euclidean_distance,5319,"Calculate the Euclidean distance from demand to supply locations.
This is simply the geopandas distance function.
The user is responsible for putting the geometries into an appropriate reference system.",name,Column name for euclidean distances,str,LiteralData,threshold,"Buffer threshold for non-point geometries, AKA max_distance",int,LiteralData,centroid_o,"If True, convert geometries of demand_df (origins) to centroids; otherwise, no change",bool,LiteralData,centroid_d,"If True, convert geometries of supply_df (destinations) to centroids; otherwise, no change",bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],esda.shape.reflexive_angle_ratio,5320,"The Taylor reflexive angle index, measure OS_4 in [ Alt98 ] (N-R)/(N+R), the difference in number between non-reflexive angles and
reflexive angles in a polygon, divided by the number of angles in the
polygon in general.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],libpysal.weights.w_union,5321,"Returns a binary weights object, w, that includes all neighbor pairs that
exist in either w1 or w2.",w1,object,W,Vector,w2,object,W,Vector,kwargs,optional arguments for pysal.weights.W,keyword arguments,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],spreg.diagnostics.akaike,5322,Calculates the Akaike Information Criterion. [Aka74],reg,output instance from a regression model,regression object,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],tobler.dasymetric.masked_area_interpolate,5323,Interpolate data between two polygonal datasets using an auxiliary raster to mask out uninhabited land.,source_df,source data to be converted to another geometric representation.,geopandas.GeoDataFrame,GeoData,target_df,target geometries that will form the new representation of the input data,geopandas.GeoDataFrame,GeoData,raster,path to raster file that contains ancillary data,str,LiteralData,pixel_values,"list of pixel values that should be considered part of the mask. For example if
using data from NLCD Land Cover Database < https://www.mrlc.gov/data >, a common
input might be [21,22,23,24], which match the ※developed§ land types in that dataset",list of ints,Vector,extensive_variables,Columns of the input dataframe containing extensive variables to interpolate,list,Vector,intensive_variables,Columns of the input dataframe containing intensive variables to interpolate,list,Vector,categorical_variables,[Optional. Default=None] Columns in dataframes for categorical variables,list,Vector,allocate_total,whether to allocate the total from the source geometries (the default is True).,bool,LiteralData,nodata,value in raster that indicates null or missing values. Default is 255,int,LiteralData,n_jobs,"[Optional. Default=-1] Number of processes to run in parallel to
generate the area allocation. If -1, this is set to the number of CPUs
available.",int,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],momepy.extend_lines,5324,"Extends lines from gdf to itself or target within a set tolerance Extends unjoined ends of LineString segments to join with other segments or
target. If target is passed, extend lines to target. Otherwise extend
lines to itself. If barrier is passed, each extended line is checked for intersection
with barrier . If they intersect, extended line is not returned. This
can be useful if you don＊t want to extend street network segments through
buildings.",gdf,GeoDataFrame containing LineString geometry,GeoDataFrame,GeoData,tolerance,"tolerance in snapping (by how much could be each segment
extended).",float,LiteralData,target,"target geometry to which gdf gets extended. Has to be
(Multi)LineString geometry.","GeoDataFrame, GeoSeries",GeoData,barrier,extended line is not used if it intersects barrier,"GeoDataFrame, GeoSeries",GeoData,extension,"by how much to extend line beyond the snapped geometry. Useful
when creating enclosures to avoid floating point imprecision.",float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],giddy.markov.prais,5325,Prais conditional mobility measure.,pmat,"(k, k), Markov probability transition matrix.",matrix,ComplexData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],giddy.markov.GeoRank_Markov,5326,"Geographic Rank Markov.
Geographic units are considered as Markov states.",y,"(n, t) with t>>n, one row per observation (n total),
one column recording the value of each observation,
with as many columns as time periods.",array,Vector,fill_empty_classes,"If True, assign 1 to diagonal elements which fall in rows
full of 0s to ensure p is a stochastic transition
probability matrix (each row sums up to 1).",bool,LiteralData,summary,"If True, print out the summary of the Markov Chain during
initialization. Default is True.",bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],libpysal.cg.Line,5327,Geometric representation of line objects.,m,The slope of the line. m is also an attribute.,"{ int , float }",LiteralData,b,The \(y\) -intercept of the line. b is also an attribute.,"{ int , float }",LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
