GEE,[],ee.Algorithms.GeometryConstructors.MultiGeometry,3129,Constructs a MultiGeometry from the given list of geometry elements.,geometries,The list of geometries for the MultiGeometry.,List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.MultiLineString,3130,Constructs a MultiLineString from the given coordinates.,coordinates,"The list of LineStrings, or to wrap a single LineString, the list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.MultiPoint,3131,Constructs a MultiPoint from the given coordinates.,coordinates,"The list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.MultiPolygon,3132,Constructs a MultiPolygon from the given coordinates.,coordinates,"A list of Polygons, or for one simple polygon, a list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,evenOdd,"If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.Point,3133,"Constructs a new Point from the given x,y coordinates.",coordinates,"The coordinates of this Point in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.Polygon,3134,Constructs a Polygon from the given coordinates.,coordinates,"A list of LinearRings where the first is the shell and the rest are holes, or for a simple polygon, a list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,maxError,Max error when input geometry must be reprojected to an explicitly requested result projection or geodesic state.,ErrorMargin,GeoData,evenOdd,"If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.GeometryConstructors.Rectangle,3135,Constructs a rectangular polygon from the given corner points.,coordinates,"The low and then high corners of the Rectangle, as a list of Points or pairs of Numbers in x,y order.",List,NonGeoData,crs,"The coordinate reference system of the coordinates. The default is the projection of the inputs, where Numbers are assumed to be EPSG:4326.",Projection,GeoData,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth. The default is the geodesic state of the inputs, or true if the inputs are numbers.",Boolean,LiteralData,evenOdd,"If true, polygon interiors will be determined by the even/odd rule, where a point is inside if it crosses an odd number of edges to reach a point at infinity. Otherwise polygons use the left-inside rule, where interiors are on the left side of the shell's edges when walking the vertices in the given order.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.HillShadow,3136,"Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.",image,"The image to which to apply the shadow algorithm, in which each pixel should represent an elevation in meters.",Image,Raster,azimuth,Azimuth in degrees.,Float,LiteralData,zenith,Zenith in degrees.,Float,LiteralData,neighborhoodSize,Neighborhood size.,Integer,LiteralData,hysteresis,"Use hysteresis. Less physically accurate, but may generate better images.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.HoughTransform,3137,"Applies the Hough transform to an image. For every input band, outputs a band where lines are detected by thresholding the Hough transform with a value of lineThreshold. The output band is named [input]_lines, where [input] is the name of the original band. The defaults provided for the parameters are intended as a starting point for use with UINT8 images.",image,The image to which to apply the transform.,Image,Raster,gridSize,The size of the grid over which to perform the computation.,Integer,LiteralData,inputThreshold,Value threshold for input image. Pixels equal to or above this value are considered active.,Float,LiteralData,lineThreshold,Threshold for line detection. Values equal to or above this threshold on the Hough transform are considered to be detected lines.,Float,LiteralData,smooth,Whether to smooth the Hough transform before line detection.,Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.If,3138,"Selects one of its inputs based on a condition, similar to an if-then-else construct.",condition,"The condition that determines which result is returned. If this is not a boolean, it is interpreted as a boolean by the following rules:Numbers that are equal to 0 or a NaN are false.Empty strings, lists and dictionaries are false.Null is false.Everything else is true.",Object,NonGeoData,trueCase,The result to return if the condition is true.,Object,NonGeoData,falseCase,The result to return if the condition is false.,Object,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Image.Segmentation.GMeans,3139,"Performs G-Means clustering on the input image. Iteratively applies k-means followed by a normality test to automatically determine the number of clusters to use. The output contains a 'clusters' band containing the integer ID of the cluster that each pixel belongs to. The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap. Clusters in one cell or tile are unrelated to clusters in another. Any cluster that spans a cell or tile boundary may receive two different labels in the two halves. Any input pixels with partial masks are fully masked in the output. This algorithm is only expected to perform well for images with a narrow dynamic range (i.e., bytes or shorts). See: G. Hamerly and C. Elkan. 'Learning the k in k-means'. NIPS, 2003.",image,The input image for clustering.,Image,Raster,numIterations,Number of iterations. Default 10.,Integer,LiteralData,pValue,Significance level for normality test.,Float,LiteralData,neighborhoodSize,Neighborhood size. The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.,Integer,LiteralData,gridSize,"Grid cell-size. If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller. This option is mutually exclusive with neighborhoodSize.",Integer,LiteralData,uniqueLabels,"If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Image.Segmentation.KMeans,3140,"Performs K-Means clustering on the input image. Outputs a 1-band image containing the ID of the cluster that each pixel belongs to. The algorithm can work either on a fixed grid of non-overlapping cells (gridSize, which can be smaller than a tile) or on tiles with overlap (neighborhoodSize). The default is to use tiles with no overlap. Clusters in one cell or tile are unrelated to clusters in another. Any cluster that spans a cell or tile boundary may receive two different labels in the two halves. Any input pixels with partial masks are fully masked in the output.",image,The input image for clustering.,Image,Raster,numClusters,Number of clusters.,Integer,LiteralData,numIterations,Number of iterations.,Integer,LiteralData,neighborhoodSize,Neighborhood size. The amount to extend each tile (overlap) when computing the clusters. This option is mutually exclusive with gridSize.,Integer,LiteralData,gridSize,"Grid cell-size. If greater than 0, kMeans will be run independently on cells of this size. This has the effect of limiting the size of any cluster to be gridSize or smaller. This option is mutually exclusive with neighborhoodSize.",Integer,LiteralData,forceConvergence,"If true, an error is thrown if convergence is not achieved before numIterations.",Boolean,LiteralData,uniqueLabels,"If true, clusters are assigned unique IDs. Otherwise, they repeat per tile or grid cell.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Image.Segmentation.SNIC,3141,"Superpixel clustering based on SNIC (Simple Non-Iterative Clustering). Outputs a band of cluster IDs and the per-cluster averages for each of the input bands. If the 'seeds' image isn't provided as input, the output will include a 'seeds' band containing the generated seed locations. See: Achanta, Radhakrishna and Susstrunk, Sabine, 'Superpixels and Polygons using Simple Non-Iterative Clustering', CVPR, 2017.",image,The input image for clustering.,Image,Raster,size,"The superpixel seed location spacing, in pixels. If 'seeds' image is provided, no grid is produced.",Integer,LiteralData,compactness,Compactness factor. Larger values cause clusters to be more compact (square). Setting this to 0 disables spatial distance weighting.,Float,LiteralData,connectivity,Connectivity. Either 4 or 8.,Integer,LiteralData,neighborhoodSize,Tile neighborhood size (to avoid tile boundary artifacts). Defaults to 2 * size.,Integer,LiteralData,seeds,"If provided, any non-zero valued pixels are used as seed locations. Pixels that touch (as specified by 'connectivity') are considered to belong to the same cluster.",Image,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Image.Segmentation.seedGrid,3142,Selects seed pixels for clustering.,size,"The superpixel seed location spacing, in pixels.",Integer,LiteralData,gridType,Type of grid. One of 'square' or 'hex'.,String,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.IsEqual,3143,Returns whether two objects are equal.,left,,Object,NonGeoData,right,,Object,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Landsat.TOA,3144,"Calibrates Landsat DN to TOA reflectance and brightness temperature for Landsat and similar data. For recently-acquired scenes calibration coefficients are extracted from the image metadata; for older scenes the coefficients are derived from: Chander, Gyanesh, Brian L. Markham, and Dennis L. Helder. ""Summary of current radiometric calibration coefficients for Landsat MSS, TM, ETM+, and EO-1 ALI sensors."" Remote sensing of environment 113.5 (2009): 893-903.",input,The Landsat image to process.,Image,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Landsat.calibratedRadiance,3145,Calibrates each band of an image by applying linear transformation with slope?RADIANCE_MULT_BAND_N?and y-intercept?RADIANCE_ADD_BAND_N; these values are extracted from the image metadata.,image,The input Landsat image.,Image,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Landsat.pathRowLimit,3146,"Limits requests to an ImageCollection of Landsat scenes to return a controllable number of the best scenes for each request. This is intended for use with statistical algorithms like median composites that need a certain amount of good data to perform well, but that do not benefit substantially from additional data beyond that while becoming needlessly expensive. The default arguments select approximately one year's worth of good data. Note that in rare circumstances, when the tile boundary aligns with a Landsat WRS cell boundary, queries for adjacent tiles may yield conflicting results. This is why it is important that this algorithm only be used with statistical methods that can tolerate these inconsistencies.",collection,The Landsat ImageCollection to limit.,ImageCollection,Raster,maxScenesPerPathRow,The max number of scenes to return per path/row.,Integer,LiteralData,maxScenesTotal,The max number of scenes to return per request total.,Integer,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Landsat.simpleCloudScore,3147,"Computes a simple cloud-likelihood score in the range [0,100] using a combination of brightness, temperature, and NDSI. This is not a robust cloud detector, and is intended mainly to compare multiple looks at the same point for cloud likelihood.",image,The Landsat TOA image to process.,Image,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Landsat.simpleComposite,3148,Computes a Landsat TOA composite from a collection of raw Landsat scenes. It applies standard TOA calibration and then assigns a cloud score to each pixel using the SimpleLandsatCloudScore algorithm. It selects the lowest possible range of cloud scores at each point and then computes per-band percentile values from the accepted pixels. This algorithm also uses the LandsatPathRowLimit algorithm to select only the least-cloudy scenes in regions where more than maxDepth input scenes are available.,collection,The raw Landsat ImageCollection to composite.,ImageCollection,Raster,percentile,The percentile value to use when compositing each band.,Integer,LiteralData,cloudScoreRange,The size of the range of cloud scores to accept per pixel.,Integer,LiteralData,maxDepth,An approximate limit on the maximum number of scenes used to compute each pixel.,Integer,LiteralData,asFloat,"If true, output bands are in the same units as the Landsat.TOA algorithm; if false, TOA values are converted to uint8 by multiplying by 255 (reflective bands) or subtracting 100 (thermal bands) and rounding to the nearest integer.",Boolean,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.ObjectType,3149,Returns a string representing the type of the given object.,value,The object to get the type of.,Object,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.ProjectionTransform,3150,Transforms the geometry of a feature to a specific projection.,feature,The feature the geometry of which is being converted.,Element,NonGeoData,proj,"The target projection. Defaults to EPSG:4326. If this has a geographic CRS, the edges of the geometry will be interpreted as geodesics. Otherwise they will be interpreted as straight lines in the projection.",Projection,GeoData,maxError,The maximum projection error.,ErrorMargin,GeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.Sentinel2.CDI,3151,"Computes the Cloud Displacement Index (CDI) from a Sentinel-2 Level 1C image. CDI is a measure of the optical separation in elevated objects due to sensor parallax. Returns a floating point band named ""cdi"". See Frantz, D., Hass, E., Uhl, A., Stoffels, J., & Hill, J. (2018). Improvement of the Fmask algorithm for Sentinel-2 images: Separating clouds from bright surfaces based on parallax effects. Remote sensing of environment, 215, 471-481.",source,The source image.,Image,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.String,3152,Converts the input to a string.,input,The object to convert.,Object,NonGeoData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEE,[],ee.Algorithms.TemporalSegmentation.C2c,3153,An implementation of the Composite 2 Change (C2C) algorithm. This algorithm segments a time series using a piecewise linear fit with the minimum of segments required to fit the data within the given maximum root mean squared error (RMSE).  For every band given the algorithm will return the following bands: changeDate:A 1D array of doubles representing pairs of start and end dates for each fitted segment. The date format is determined by the dateFormat argument. value: A 1D array of doubles of the value of the band at the changeDate. magnitude: A 1D array of doubles providing the absolute difference between the values before and after a change date.  The first magnitude is always NaN. duration: A 1D array of doubles of the duration of the segment preceding the change date.  The first duration is always NaN. rate: A 1D array of doubles of the rate of change of the data preceding the. change date. The first rate is always NaN. postMagnitude: A 1D array of doubles of the absolute difference between the values after the change date and the value at the change date.  The last postMagnitude is always NaN. postDuration: The duration of the segment following the change date. The last postDuration is always NaN. postRate: The rate of change of the data following the change date. The last postRate is always NaN. See Hermosilla et al. (2015) dx.doi.org/10.1016/j.rse.2014.11.005 for further details on the original algorithm. This algorithm is in preview and is subject to change.,collection,Collection of images on which to run C2C.,ImageCollection,Raster,dateFormat,"The time representation to use during fitting: 0 = jDays, 1 = fractional years, 2 = unix time in milliseconds. The start, end and break times for each temporal segment will be encoded this way.",Integer,LiteralData,maxError,,Float,LiteralData,maxSegments,,Integer,LiteralData,startYear,,Integer,LiteralData,endYear,,Integer,LiteralData,infill,,Boolean,LiteralData,spikesTolerance,,Float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
