WhiteBox,2.4.0,MultiPartToSinglePart,2121,"This tool can be used to convert a vector file containing multi-part features into a vector
containing only single-part features. Any multi-part polygons or lines within the input
vector file will be split into separate features in the output file, each possessing their
own entry in the associated attribute file. For polygon-type vectors, the user may optionally
choose to exclude hole-parts from being separated from their containing polygons. That is,
with the --exclude_holes flag, hole parts in the input vector will continue to belong to
their enclosing polygon in the output vector. The tool will also convert MultiPoint Shapefiles
into single Point vectors.","i, --input",Input vector line or polygon file,"o, --output",Output vector line or polygon file,exclude_holes,Exclude hole parts from the feature splitting? (holes will continue to belong to their features in output.),,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,NewRasterFromBase,2122,"This tool can be used to create a new raster with the same coordinates and dimensions
(i.e. rows and columns) as an existing base image, or the same spatial extent as an input
vector file. The user must specify the name of the
base file (--base), the value that the new grid will be filled with (--value flag;
default of nodata), and the data type (--data_type flag; options include 'double',
'float', and 'integer'). If an input vector base file is used, then it is necessary to specify
a value for the optional grid cell size (--cell_size) input parameter.","i, --base",Input base raster file,"o, --output",Output raster file,value,Constant value to fill raster with; either 'nodata' or numeric value,data_type,"Output raster data type; options include 'double' (64-bit), 'float' (32-bit), and 'integer' (signed 16-bit) (default is 'float')",cell_size,Optionally specified cell size of output raster. Not used when base raster is specified,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,PolygonsToLines,2123,"This tool converts vector polygons into polylines, simply by modifying the Shapefile geometry type.","i, --input",Input vector polygon file,"o, --output",Output vector lines file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,PrintGeoTiffTags,2124,"This tool can be used to view the tags contained within a GeoTiff file. Viewing
the tags of a GeoTiff file can be useful when trying to import the GeoTiff to
different software environments. The user must specify the name of a GeoTiff file
and the tag information will be output to the StdOut output stream (e.g. console).
Note that tags that contain greater than 100 values will be truncated in the output.
GeoKeys will also be interpreted as per the GeoTIFF specification.","i, --input",Input GeoTIFF file,,,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,RasterToVectorLines,2125,"This tool converts raster lines features into a vector of the POLYLINE ShapeType.
Grid cells associated with line features will contain non-zero, non-NoData cell
values. The algorithm requires three passes of the raster. The first pass counts
the number of line neighbours of each line cell; the second pass traces line
segments starting from line ends (i.e. line cells with only one neighbouring line
cell); lastly, the final pass traces any remaining line segments, which are likely
forming closed loops (and therefore do not have line ends).","i, --input",Input raster lines file,"o, --output",Output raster file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,RasterToVectorPoints,2126,"Converts a raster data set to a vector of the POINT shapetype. The user must specify
the name of a raster file (--input) and the name of the output vector (--output). Points will correspond
with grid cell centre points. All grid cells containing non-zero, non-NoData values
will be considered a point. The vector's attribute table will contain a field called
'VALUE' that will contain the cell value for each point feature.","i, --input",Input raster file,"o, --output",Output vector points file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,RasterToVectorPolygons,2127,"Converts a raster data set to a vector of the POLYGON geometry type. The user must specify
the name of a raster file (--input) and the name of the output (--output) vector. All grid cells containing
non-zero, non-NoData values will be considered part of a polygon feature. The vector's attribute table
will contain a field called 'VALUE' that will contain the cell value for each polygon
feature, in addition to the standard feature ID (FID) attribute.","i, --input",Input raster file,"o, --output",Output vector polygons file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,ReinitializeAttributeTable,2128,"Reinitializes a vector's attribute table deleting all fields but the feature ID (FID).
Caution: this tool overwrites the input file's attribute table.","i, --input",Input vector file,,,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,RemovePolygonHoles,2129,"This tool can be used to remove holes from the features within a vector
polygon file. The user must specify the name of the input vector file,
which must be of a polygon shapetype, and the name of the output file.","i, --input",Input vector polygon file,"o, --output",Output vector polygon file,,,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,RemoveRasterPolygonHoles,2130,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).","i, --input",Name of the input raster image file,"o, --output",Name of the output raster file,threshold,"Maximum size of removed holes, in grid cells. Blank for no threshold, i.e. remove all holes",use_diagonals,Use diagonal neighbours during clumping operation,,,,,,,,,,,,,,,,,,
